id,jounral_abbreviation,article_title,journal_title,article_language,article_jcreated_at,journal_issn,article_jvolumn,article_pagination,article_jissue,author_list
473599,empty,The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients undergoing contrast-enhanced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract),International Urology and Nephrology,empty,1/13/01,0301-1623,45,1309-1318,5,"{""Yh Hsu"",""Ms Yao"",""Cs Wong"",""Ch Bai"",""My Wu"",""Yf Lin"",""Cy Hsiang"",""Kw Tam"",""Yw Li"",""Hf Hsiang""}"
915463,empty,"[Commentary on] Gait changes in children with cerebral palsy following a neuro-developmental treatment course. Adams M, Chandler L, Shuhmann K, PEDIATRIC PHYSICAL THERAPY, 2000;12:114-120",Pediatric physical therapy,empty,1/2/01,empty,14,55-56 2p,1,"{""J. Slusarski""}"
476199,J Korean Neurosurg Soc,Cognitive Outcome of Pediatric Moyamoya Disease.,Journal of Korean Neurosurgical Society,eng,1/15/06,2005-3711,57,440-4,6,"{""Ju-Seong Kim"",""Dong-Seok Kim"",""Eun-Kyung Park"",""Kyu-Won Shim""}"
405141,empty,Fruit consumption and risk of type 2 diabetes: results from three prospective longitudinal cohort studies.,Bmj-British Medical Journal,eng,1/13/01,1756-1833,347,f5001,-1,"{""Rob M van Dam"",""Frank B Hu"",""Isao Muraki"",""Joann E Manson"",""Fumiaki Imamura"",""Qi Sun"",""Walter C Willett""}"
213794,empty,A biomechanical study of replacement of the posterior cruciate ligament with a graft. Part II: Forces in the graft compared with forces in the intact ligament,empty,empty,1/1/97,empty,79,381-386,3,"{""K.L. Armstrong"",""G.A.M. Finerman"",""K.L. Markolf"",""M.S. Shapiro"",""J.R. Slauterbeck""}"
408902,empty,The safety and immunogenicity of rotavirus vaccination in infants with intestinal failure,J. Pediatric Infect. Dis. Soc.,empty,empty,-14400,3,57-65,1,"{""McNeal M.M."",""Sanchez S.E."",""Jacob S."",""Javid P.J."",""Englund J.A."",""Horslen S.P.""}"
89897,JAMA Otolaryngol Head Neck Surg,A growing lesion on the cheek.,JAMA otolaryngology-- head & neck surgery,eng,1/14/04,2168-619X,140,383-4,4,"{""Eric J Lentsch"",""Jordan Whitney Rawl"",""Michael J Caplan""}"
187552,empty,Protective effect of ginsenoside Rb1 against myocardial ischemia/reperfusion injury in streptozotocin-induced diabetic rats,Molecular Biology Reports,empty,1/11/01,0301-4851,38,4327-4335,7,"{""Y. Wu"",""Z. Y. Xia"",""H. M. Liu"",""S. Q. Lei"",""L. Zhang"",""J. J. Xu"",""B. Zhao"",""J. Dou""}"
144339,J Aerosol Med Pulm Drug Deliv,Comparative in vitro performance of three small-volume valved holding chambers with beclomethasone/formoterol pressurized metered dose inhaler.,Journal of aerosol medicine and pulmonary drug delivery,eng,1/13/08,1941-2703,26,223-7,4,"{""Kamel Alhanout"",""Jean-Christophe Dubus"",""Talita Mota Goncalves"",""Veronique Andrieu"",""Alain Nicolay"",""Davi Pereira de Santana""}"
656518,empty,The effectiveness of anti-illicit-drug public-service announcements: a systematic review and meta-analysis.,Journal of epidemiology and community health.,eng,1/11/10,1470-2738,65,834-40,10,"{""Julio S G Montaner"",""Kora Debeck"",""Evan Wood"",""Thomas Kerr"",""Edward J Mills"",""Dan Werb""}"
925315,Chung Hua I Hsueh Tsa Chih,[Use of statins prior to or following invasive therapy for coronary artery disease].,CHUNG-HUA I HSUEH TSA CHIH [CHINESE MEDICAL JOURNAL],chi,10/26/05,0376-2491,85,15-Jul,40,"{""Wei Gao""}"
130308,Can Forces Dent Serv Q,Malignant lymphomas of the oral region.,Canadian Forces Dental Services quarterly,engfre,1/1/77,0045-4850,18,7-Jan,1,"{""J R Trott"",""D J Morrow"",""D W Buntine""}"
237077,empty,Women's experiences of acupuncture during labour,British Journal of Midwifery,empty,1/13/01,0969-4900,21,254-262,4,"{""Irena Anna Frei"",""Katharina Fierz"",""Angela Poat"",""Martina Gisin""}"
600827,empty,Nutritional supplementation for hip fracture aftercare in the elderly.,Cochrane Database Syst. Rev.,eng,1/1/00,1469-493X,-1,CD001880,4,"{""A Avenell"",""H H Handoll""}"
851773,empty,Quality of life factors and survival after total or extended maxillectomy for sinonasal malignancies.,Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,eng,1/15/04,1531-5053,73,759-63,4,"{""James Murphy"",""Amal Isaiah"",""Joshua E Lubek"",""Jeffrey S Wolf""}"
67292,J. Biol. Chem.,Epithelial Splicing Regulatory Proteins 1 (ESRP1) and 2 (ESRP2) Suppress Cancer Cell Motility via Different Mechanisms.,The Journal of biological chemistry,eng,3/14/10,1083-351X,289,27386-99,40,"{""Mitsuyoshi Motizuki"",""Keiji Miyazawa"",""Tetsuo Kondo"",""Keisuke Masuyama"",""Masao Saitoh"",""Hiroki Ishii"",""Ryohei Katoh"",""Kei Sakamoto"",""Shota Tanaka""}"
129698,Chin. Med. J.,Combined and sequential treatment of oral and maxillofacial malignancies: an evolving concept and clinical protocol.,Chinese medical journal,eng,5/8/10,0366-6999,121,1945-52,19,"{""Zhi-yuan Zhang"",""Wei-liu Qiu"",""Jia-wei Zheng""}"
254327,empty,Evaluation of a workshop on evidence-based medicine for social insurance physicians.,Occupational Medicine-Oxford,eng,1/8/03,0962-7480,58,Jul-83,2,"{""Jos H Verbeek"",""Rob Kok"",""Jan L Hoving"",""Frederieke G Schaafsma"",""Frank J H van Dijk"",""Paul B A Smits""}"
556803,empty,Neurocognitive assessment in 13 patients affected by muchopolysaccharidosis IVA (MPS IVA),empty,empty,1/14/01,empty,37,S136,1,"{""M. Rigoldi"",""S. Gasperini"",""B. M. Del Menico"",""F. Nichelli"",""A. Boncimino"",""M. Calabria"",""P. Meregalli"",""R. Parini""}"
73792,Environ. Toxicol. Pharmacol.,Evaluation of the protective effect of Ilex paraguariensis and Camellia sinensis extracts on the prevention of oxidative damage caused by ultraviolet radiation.,Environmental toxicology and pharmacology,eng,1/14/01,1872-7077,37,195-201,1,"{""Marlon Barg"",""Emilio L Streck"",""Lara M Gomes"",""Vanessa M Andrade"",""Daniela D Leffa"",""Felipe Dal-Pizzol"",""Fabricia Petronilho"",""Francieli Vuolo"",""Milena Carvalho-Silva"",""Fernanda Balbinot"",""Gislaine T Rezin""}"
484593,empty,New anticoagulants for atrial fibrillation.,J. Cardiovasc. Med.,eng,1/9/06,1558-2027,10,446-53,6,"{""Raffaele De Caterina"",""Giulia Renda"",""Steen Dalby Kristensen""}"
351700,empty,Our Health Counts -- Unmasking Health and Social Disparities among Urban Aboriginal People in Ontario.,"Dissertation Abstracts International, A: The Humanities and Social Sciences",English,empty,empty,0,empty,0,"{""Michelle Firestone""}"
105981,Science,A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity.,"Science (New York, N.Y.)",eng,11/7/05,1095-9203,316,889-94,5826,"{""George Davey Smith"",""Amanda J Bennett"",""Eleftheria Zeggini"",""Marjo-Riitta Jarvelin"",""Nicholas J Wareham"",""Lorna W Harries"",""Colin N A Palmer"",""Shah Ebrahim"",""Timothy M Frayling"",""Susan M Ring"",""Bridget Knight"",""Sian Ellard"",""Katharine R Owen"",""Rachel M Freathy"",""Hana Lango"",""Debbie A Lawlor"",""Lon R Cardon"",""John R B Perry"",""Jeffrey C Barrett"",""Andrew D Morris"",""Graham A Hitman"",""Katherine S Elliott"",""Ulla Sovio"",""Mark I McCarthy"",""David Melzer"",""Alex S F Doney"",""Andrew R Ness"",""Yoav Ben-Shlomo"",""Andrew T Hattersley"",""Ann-Marie Patch"",""Nicholas J Timpson"",""Nigel W Rayner"",""Mark Walker"",""Michael N Weedon"",""Ruth J F Loos"",""Fredrik Karpe"",""In_s Barroso"",""Luigi Ferrucci"",""Christopher J Groves"",""Cecilia M Lindgren"",""Beverley Shields""}"
408198,Neuroscience,"The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1, _2, and  along their extrasynaptic cell membrane.",Neuroscience,eng,12/19/13,1873-7544,254,80-96,-1,"{""H H_ger"",""W Sieghart"",""T Klausberger"",""I Milenkovic"",""M Vasiljevic"",""D Maurer""}"
30272,Exp. Neurol.,Glial cells in amyotrophic lateral sclerosis.,Experimental neurology,ENG,5/22/14,1090-2430,-1,empty,-1,"{""T Philips"",""J D Rothstein""}"
623367,empty,Diagnosing acute cardiac ischemia in the emergency department: a systematic review of the accuracy and clinical effect of current technologies.,Annals of Emergency Medicine American College of Emergency Physician's Research Forum,eng,1/1/05,0196-0644,37,453-60,5,"{""J P Ioannidis"",""J Lau"",""C Milch"",""D Salem"",""P W Chew"",""N Terrin"",""E M Balk""}"
13408,Paediatr Child Health,Eczema - quiz.,Paediatrics & child health,eng,3/1/00,1918-1485,5,105,2,{NULL}
449003,empty,"Stroke in children with posterior fossa brain malformations, hemangiomas, arterial anomalies, coarctation of the aorta and cardiac defects, and eye abnormalities (PHACE) syndrome: A systematic review of the literature.",empty,empty,empty,empty,0,empty,0,{NULL}
299297,empty,"Employing a youth-led adult-guided framework: ""why drive high?"" social marketing campaign.",Family & Community Health,empty,1/11/10,0160-6379,34,319-330,4,"{""Terry-Lynne Marko"",""Tyler Watt""}"
302268,empty,Review of Handbook for Working with Children and Youth: Pathways to Resilience across Cultures and Contexts,empty,English,1/6/01,empty,47,230-232,3,"{""Robert J. Flynn""}"
592663,empty,Helicobacter pylori antibiotic resistance patterns and genotypes in adult dyspeptic patients from a regional population in North Wales,empty,eng,1/4/01,empty,54,435-40,2,"{""A. M. Walker"",""J. Xerry"",""K. Davies"",""N. C. Elviss"",""R. J. Owen""}"
520843,AJR Am J Roentgenol,Sonographically guided biopsy of focal lesions: a comparison of freehand and probe-guided techniques using a phantom.,AJR. American Journal Of Roentgenology,eng,1/5/05,0361-803X,184,1652-6,5,"{""Duncan M Brooks"",""Pramit M Phal"",""Rory Wolfe""}"
460786,empty,Splinting osseointegrated implants and natural teeth in partially edentulous patients: a systematic review of the literature. [Review],empty,empty,empty,empty,0,empty,0,{NULL}
866131,empty,Long-term subcutaneous recombinant interleukin-2 as maintenance therapy: Biological effects and clinical implications,Cancer Biotherapy,empty,1/1/95,1062-8401,10,195-203,3,"{""V. Lorusso"",""M. De Lena"",""M. Guida"",""M. Correale"",""I. Abbate"",""A. Latorre"",""A. Casamassima"",""M. D. Musci""}"
751811,empty,School soft drink intervention study,BMJ,empty,1/4/01,1468-5833 (Electronic),329,E315-6,7462,"{""S. A. French"",""M. Story"",""P. J. Hannan""}"
436781,empty,Hoarse voice in adults: An evidence-based approach to the 12 minute consultation.,empty,empty,empty,empty,0,empty,0,{NULL}
796900,"Rheumatology (Oxford, England)","Chronic compartment syndrome, an important cause of work-related upper limb disorder",Rheumatology (Oxford),empty,1/5/01,1462-0324,44,1442-6,11,"{""J. P. Heath"",""R. L. Williams"",""M. H. Pritchard""}"
491837,empty,"Sleep, sleep-dependent procedural learning and vigilance in chronic cocaine users: Evidence for occult insomnia",empty,English,1/6/01,empty,82,238-49,3,"{""R. T. Malison"",""E. F. Pace-Schott"",""V. Coric"",""P. T. Morgan"",""R. Stickgold"",""Z. H. Sahul""}"
893227,empty,A screening methodology for crowdsourcing video QoE evaluation,empty,empty,1/14/01,empty,0,empty,0,"{""E. Anegekuh, L., Sun, L., Ifeachor""}"
525874,empty,Potential for inter-observer and intra-observer variability in x-ray review to establish stone-free rates after lithotripsy.,J. Urol.,eng,3/1/92,0022-5347,147,559-62,3,"{""D Caron"",""S J Witchell"",""M A Jewett"",""E L St Louis"",""R R Gray"",""C Bombardier"",""S Kumra"",""K E Psihramis"",""M R Ryan""}"
26475,Disabil Rehabil,Situating universal design architecture: designing with whom?,Disability and rehabilitation,ENG,7/28/14,1464-5165,-1,6-Jan,-1,"{""Paul Jones""}"
476191,J Stroke Cerebrovasc Dis,Endovascular Treatment of Ruptured Large or Wide-Neck Basilar Tip Aneurysms Associated with Moyamoya Disease Using the Stent-Assisted Coil Technique.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,ENG,7/24/15,1532-8511,-1,empty,-1,"{""Yibin Fang"",""Pengfei Yang"",""Jianmin Liu"",""Yi Xu"",""Qinghai Huang"",""Wenyuan Zhao"",""Dongwei Dai"",""Yan Chen""}"
719389,empty,Subjective states: A more robust model,Games and Economic Behavior,empty,1/9/01,0899-8256,67,408-427,2,"{""K. Seo"",""L. G. Epstein""}"
467318,empty,The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,empty,empty,empty,empty,0,empty,0,{NULL}
268361,The Journal of bone and joint surgery. British volume,Giant-cell tumour of the knee: the condition of the cartilage after treatment by curettage and cementing,J Bone Joint Surg Br,eng,1/7/01,0301-620X (Print) 0301-620x,89,361-5,3,"{""K. Jonsson"",""A. Rydholm"",""I. Kristiansson"",""D. Heinegard"",""F. V. von Steyern"",""P. Mannfolk""}"
664795,J. Cancer Res. Clin. Oncol.,Diagnostic accuracy of endoscopic ultrasound-guided fine-needle aspiration for solid pancreatic lesion: a systematic review.,Journal of cancer research and clinical oncology,eng,1/12/09,1432-1335,138,1433-41,9,"{""Hangcheng Zhou"",""Renbao Yang"",""Jiong Chen"",""Yunlian Xia"",""Yin Lu""}"
102180,Int J Obes (Lond),"Safety, tolerability and sustained weight loss over 2 years with the once-daily human GLP-1 analog, liraglutide.",International journal of obesity (2005),eng,1/12/06,1476-5497,36,843-54,6,"{""R Carraro"",""M F Rasmussen"",""L Niskanen"",""A Harper"",""N Finer"",""S R_ssner"",""M Kunesova"",""L Van Gaal"",""M E J Lean"",""A Astrup"",""A Rissanen"",""M J Savolainen"",""[Collective Name] NN8022-1807 Investigators""}"
258486,empty,Web-based nutrition education intervention improves self-efficacy and self-regulation related to increased dairy intake in college students,empty,English,1/10/01,empty,110,1723-7,11,"{""Kathy W Hosig"",""Sharon M Nickols-Richardson"",""Kavita H Poddar"",""Susan E Duncan"",""Eileen S Anderson""}"
961081,empty,Three Abstracts on Chinese Research,American Acupuncturist,empty,1/13/01,1520-7714,63,25-26,0,{NULL}
52681,empty,Retrograde nailing of humeral shaft fractures,empty,eng,1/1/98,empty,0,26-39,350,"{""M. Runkel"",""J. Blum"",""P. M. Rommens""}"
828156,"Alcoholism, clinical and experimental research",Behavioral and cognitive measurements predict scores on the MAST: a 3-year prospective study.,Alcohol Clin Exp Res,eng,10/1/96,0145-6008,20,1173-8,7,"{""V Hesselbrock"",""A W Deckel""}"
812757,Klin.Psikofarmakol.Bul.,Development of a SNP genotyping panel and a medical decision support algorithm to predict drug response in schizophrenia,Klinik Psikofarmakoloji Bulteni,empty,1/11/01,1017-7833,21,S156-S157,0,"{""Y. A. Son"",""G. Ustunkar"",""M. A. Doke"",""H. A. Dom"",""Y. Y. Tuncel""}"
713518,REV ENFERMAGEM UFPE,ELDERLY AND PHYSICAL ACTIVITY: BENEFITS AND CHALLENGES IN SEARCH FOR LIFE QUALITY.,Journal of Nursing UFPE / Revista de Enfermagem UFPE,empty,1/12/11,1981-8963,6,2761-2769 9p,11,"{""Gerlane ngela da Costa Moreira"",""Denyse Dutra Alencar Vasconcelos"",""Amanda Costa de Freitas"",""Carla Cristina Braga Maranho"",""Danielle Figueiredo Patricio""}"
180977,empty,Neighbourhood characteristics and mortality in the Atherosclerosis Risk in Communities Study,empty,empty,1/4/01,empty,33,398-407,0,"{""L. N. Borrell"",""K. Rose"",""B. L. Clark"",""D. Catellier"",""A. V. D. Roux""}"
828214,Br J Psychiatry,Transference-focused psychotherapy v. treatment by community psychotherapists for borderline personality disorder: randomised controlled trial.,The British journal of psychiatry : the journal of mental science,eng,1/10/05,1472-1465,196,389-95,5,"{""Philipp Martius"",""Anna Buchheim"",""Peter Buchheim"",""Susanne H_rz"",""Michael Rentrop"",""Cord Benecke"",""Peter Schuster"",""Melitta Fischer-Kern"",""Stephan Doering""}"
176160,empty,The changing residential environments of older people,empty,empty,1/11/01,empty,0,207-220,0,"{""Basta Beard Beard Beel-Bates Bierman Bowling Cagney Calkins Carder Carlsson Chan Clark Clarke Cutchin Cutler Davidoff Diehl Doty Durrett Feldman Foote Freedman Gaugler Gitlin Gitlin Glass Golant Golant Golant Golant Golant Golant Golant Grafova Gross Hunt Alley"",""Stephen M. Golant""}"
677752,Hernia,A systematic review of the surgical treatment of large incisional hernia.,Hernia : the journal of hernias and abdominal wall surgery,eng,1/15/02,1248-9204,19,89-101,1,"{""L Timmermans"",""J C Slieker"",""J F Lange"",""E B Deerenberg"",""J Jeekel"",""D P Hogerzeil"",""P H C Eilers""}"
107417,Lancet,"Fast-food habits, weight gain, and insulin resistance (the CARDIA study): 15-year prospective analysis.",Lancet,eng,1/5/01,1474-547X,365,36-42,9453,"{""David R Jacobs"",""David S Ludwig"",""Cara B Ebbeling"",""Alex I Kartashov"",""Martha L Slattery"",""Linda Van Horn"",""Mark A Pereira""}"
141282,empty,Early prenatal survival in relation to the parental environment in sheep: A review,Small Ruminant Research,empty,6/29/98,0921-4488,29,143-156,2,"{""E Decuypere"",""E Dewil"",""D Vanmontfort"",""H Michels""}"
708911,empty,Changing tides: improving outcomes through mentorship on all levels of nursing,empty,empty,1/10/01,empty,33,163-176,2,"{""J. Skees"",""T. K. Race""}"
621640,Int Psychogeriatr,Tracking cognitive decline in Alzheimer's disease using the mini-mental state examination: a meta-analysis.,International psychogeriatrics / IPA,eng,6/1/00,1041-6102,12,231-47,2,"{""J McCusker"",""F Primeau"",""M Cole"",""L Han"",""F Bellavance""}"
647583,empty,Pulmonary rehabilitation programs for patients with COPD.,Jornal brasileiro de pneumologia : publicacao oficial da Sociedade Brasileira de Pneumologia e Tisilogia,engpor,1/11/07,1806-3756,37,544-55,4,"{""Ana Maria Baptista Menezes"",""David Alejandro Gonzlez"",""Elaine Cardozo Macedo"",""Pedro Curi Hallal"",""Maria de Ftima Maia"",""Marli Knorst"",""Samuel Carvalho Dumith"",""Jeovany Mart_nez-Mesa"",""Ricardo Bica Noal"",""Fernando Csar Wehrmeister"",""Jos Roberto Jardim""}"
361080,empty,The Impact of Nursing Case Management on Women With Diabetes in Pregnancy,"JOGNN: Journal of Obstetric, Gynecologic & Neonatal Nursing",empty,1/12/01,0884-2175,41,S131-2,0,"{""Corinn Taylor""}"
283168,empty,[Pharmacotherapy for conduct disorder in children and adolescents],Harefuah,heb,1/12/01,empty,151,"421-6, 435, 434",7,"{""T. Levy"",""Y. Bloch""}"
52633,empty,Monteggia lesions in adults. A multicenter Bota study,empty,eng,1/1/96,empty,62,78-83,0,"{""W. De Groote"",""D. Stoffelen"",""K. Govaerts"",""P. Reynders"",""P. L. Broos"",""J. Rondia""}"
74821,Tumour Biol.,Progesterone receptor PROGINS and +331G/A polymorphisms confer susceptibility to ovarian cancer: a meta-analysis based on 17 studies.,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,eng,1/14/03,1423-0380,35,2427-36,3,"{""Xinran Wang"",""Chenhuan Ding"",""Lilan Chen"",""Shu Li"",""Ting Liu"",""Xia Yin"",""You Wang"",""Xiangjun Sun"",""Wen Di"",""He Li""}"
373015,Croat.Med.J.,Gene analysis of steroid 5 alpha-reductase 1 in hyperandrogenic women,Croatian Medical Journal,empty,1/5/01,0353-9504,46,664-669,4,"{""B. Heljic"",""R. Komel"",""I. Eminovic"",""F. Gavrankapetanovic"",""J. Prezelj"",""J. Karamehic""}"
529562,Int J Stroke,Intravenous insulin treatment in acute stroke: a systematic review and meta-analysis of randomized controlled trials.,International journal of stroke : official journal of the International Stroke Society,eng,1/14/06,1747-4949,9,489-93,4,"{""P Michel"",""V Papavasileiou"",""G Ntaios"",""A Bargiota"",""K Makaritsis""}"
574242,Eur. J. Heart Fail.,"Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai, United Arab Emirates: a prospective     study",European journal of heart failure,English,1/14/01,1879-0844,16,454-460,4,"{""Al Sayed Hussain A"",""Saheb Sharif-Askari N"",""Sulaiman SA"",""Al-Mulla AA"",""Tabatabai S"",""Saheb Sharif-Askari F""}"
966388,Yonsei Med.J.,Multiple endocrine neoplasia type 1 with multiple leiomyomas linked to a novel mutation in the MEN1 gene,Yonsei Medical Journal,English,1/8/01,1976-2437,49,655-661,4,"{""H. Choi"",""E. S. Kang"",""S. K. Lim"",""S. Y. Jeong"",""H. C. Lee"",""H. J. Kim"",""S. Kim"",""Y. Rhee"",""Y. H. Lee"",""J. H. Moon"",""K. R. Kim"",""C. W. Ahn"",""B. S. Cha"",""E. J. Lee""}"
919014,empty,[Anesthetic gases exposure: findings from a 13 year environmental and biological monitoring in a hospital company].,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,ita,1/7/07,1592-7830,29,411-3,3,"{""M A Sanchez"",""S Ritzu"",""V Capelli"",""P Boccalon"",""G Arcangeli""}"
494428,Can Fam Physician,Out-of-hospital cardiac arrests occurring in southern Ontario health care clinics: bystander cardiopulmonary resuscitation and automated external defibrillator use.,Canadian family physician Medecin de famille canadien,eng,1/10/06,1715-5258,56,e213-8,6,"{""Karen K Lam"",""Steven C Brooks"",""Laurie J Morrison""}"
55809,Childs Nerv Syst,Diffusion tensor imaging of deep gray matter in children treated for brain malignancies.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,eng,1/14/04,1433-0350,30,631-8,4,"{""Anna Nidecker"",""Siamak Ardekani"",""E Mark Mahone"",""Firouzeh Tannazi"",""Jarunee Intrapiromkul"",""Moody Wharam"",""Larry J Brant"",""Alena Horsk""}"
368651,empty,A randomized controlled trial of paracetamol versus morphine for the treatment of acute painful crisis of sickle cell disease,empty,empty,1/13/01,empty,20,S149,5,"{""R. Rehmani""}"
423691,empty,Puberty suppression in adolescents with gender identity disorder: a prospective follow-up study,Journal of Sexual Medicine,English,1/11/01,empty,8,2276-83,8,"{""T. A. Doreleijers"",""P. T. Cohen-Kettenis"",""A. L. de Vries"",""T. D. Steensma""}"
435904,empty,A meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder.,empty,empty,empty,empty,0,empty,0,{NULL}
407245,Arch Phys Med Rehabil,Group physiotherapy provides similar outcomes for participants after joint replacement surgery as 1-to-1 physiotherapy: a sequential cohort study.,Archives Of Physical Medicine And Rehabilitation,eng,1/9/10,1532-821X,90,1727-33,10,"{""Corinne L Coulter"",""Jennie M Scarvell"",""Jeanie M Weber""}"
918698,Eur J Anaesthesiol,Sevoflurane postconditioning converts persistent ventricular fibrillation into regular rhythm.,European Journal Of Anaesthesiology,eng,1/9/09,1365-2346,26,766-71,9,"{""Fengjiang Zhang"",""Gang Chen"",""Min Yan"",""Congcong Chen""}"
209138,empty,Frontal and sagittal plane analyses of the stair climbing task in healthy adults aged over 40 years: what are the challenges compared to level walking?,Clinical Biomechanics,empty,1/3/12,0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,18,950-959,10,"{""S Nadeau"",""F Malouin"",""B.J McFadyen""}"
862844,Pharmacogenomics,DPYD IVS14+1G>A and 2846A>T genotyping for the prediction of severe fluoropyrimidine-related toxicity: A meta-analysis,Pharmacogenomics,empty,1/13/01,1462-2416,14,1255-1272,11,"{""R. Danesi"",""S. Terrazzino"",""P. L. Canonico"",""A. A. Genazzani"",""S. Cargnin"",""M. Del Re""}"
875733,Rinsho byori. The Japanese journal of clinical pathology,[Methicillin-resistant Staphylococcus aureus forming the fried egg appearance colonies isolated from a patient with septicemia],Rinsho Byori,jpn,1/1/95,0047-1860 (Print)     0047-1860,43,1061-5,10,"{""K. Iijima"",""A. Tanimoto"",""Y. Kitagaki"",""M. Hiura"",""H. Fujiwara"",""S. Ikawa""}"
587683,Journal of nutrition in gerontology and geriatrics,Support for nutrition from the older Americans act programs: a clarification on its 40th anniversary,J Nutr Gerontol Geriatr,eng,1/13/01,empty,32,Mar-81,1,"{""J. L. Lloyd""}"
927711,empty,Measures of exposure to the Well London Phase-1 intervention and their association with health well-being and social outcomes,Journal of Epidemiology & Community Health,empty,1/14/01,0143-005X,68,597-605,7,"{""C. Bottomley"",""K. Lock"",""S. Lais"",""A. Clow"",""G. Yu"",""R. Lynch"",""A. Renton"",""G. Phillips"",""M. Petticrew"",""A. Draper"",""P. Tobi"",""E. Schmidt"",""R. Hayes"",""D. Moore""}"
313584,empty,The Effects of Cognitive Coaching and Nonverbal Classroom Management on Teacher Efficacy and Perceptions of School Culture.,empty,English,1/1/98,empty,0,53,0,"{""Jennifer L. Edwards"",""Cherie A. Lyons"",""Marcia E. Swords"",""Mary S. Rogers"",""Kathy E. Green""}"
161847,empty,Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study,empty,eng,1/5/01,empty,90,3236-42 ST  - Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study-,0,"{""A. DA  - Jun DO  - jc.2004-1843 [pii] 10.1210/jc.2004-1843 [doi] DP  - Nlm ET  - 2005/03/31 Dunaif"",""A. R. Kunselman"",""R. S. Legro"",""C. L. Gnatuk""}"
543292,empty,Effects of Test Administrator Characteristics on Achievement Test Scores,Online Submission,empty,1/5/04,978-957-41-6666-4,0,empty,0,"{""Maria Papapolydorou"",""Taslima Rahman"",""William D. Schafer"",""Lori Parker""}"
248064,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,Distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,J Orthop Sci,eng,1/10/01,0949-2658 (Print) 0949-2658,15,502-8,4,"{""T. Katayama"",""K. Furuta"",""M. Akahane"",""H. Ono"",""R. Fujitani""}"
887041,Geriatrics & gerontology international,Age-related driving disorders: screening in hospitals and outpatients settings.,Geriatr Gerontol Int,eng,1/10/10,1447-0594,10,288-94,4,"{""Kevin Patrick"",""Jill Rybar"",""Linda Hill"",""Sara Baird"",""Raul Coimbra"",""Susanna Concha-Garcia""}"
314737,empty,[Effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],empty,empty,1/2/01,empty,141,281-5,9,"{""S. Opatrna"",""P. Stehlik"",""J. Racek"",""Jr. Opatrny, K."",""V. Senft"",""F. Sefrna"",""O. Topolcan""}"
709094,empty,Evidence based practice and advanced competencies in a MHS-CLS program,empty,eng,1/11/01,empty,24,4-47-53,4,"{""L. Pretlow"",""A. Ranne"",""B. Kraj"",""E. K. Leibach"",""B. Russell""}"
327157,empty,Effect of QVA149 on lung volumes and exercise tolerance in COPD patients: the BRIGHT study,Respiratory medicine,empty,1/14/01,empty,108,584-92,4,"{""Jutta Beier"",""Peter D'Andrea"",""Michelle Henley"",""Stephanie Korn"",""Kai-Michael Beeh"",""Donald Banerji"",""Dalal Jadayel""}"
793206,Vet Clin Pathol,Disseminated lymphoma with large granular lymphocyte morphology diagnosed in a horse via abdominal fluid and transtracheal wash cytology.,Veterinary clinical pathology / American Society for Veterinary Clinical Pathology,eng,1/15/09,1939-165X,44,437-41,3,"{""Fernanda Cesar"",""Anne A Wooldridge"",""Cinzia Mastrorilli"",""Pete W Christopherson"",""Kellye Joiner""}"
361682,empty,Outcome of patients with severe PH due to lung disease with     and without targeted therapy,Cardiovascular therapeutics,English,1/14/01,empty,32,202-208,5,"{""Seiler I"",""Baron M"",""Arzt M"",""Pfeifer M"",""Lange TJ""}"
732256,Bull.WHO,A comprehensive assessment of maternal deaths in Argentina: translating multicentre collaborative research into action.,Bulletin of the World Health Organization,empty,1/7/08,0042-9686,85,615-622 8p,8,"{""Romero M"",""Mercer R"",""Ramos S"",""Karolinski A""}"
